ID,Lloc,Data,Hora,P.1,P.1.1,P.1.2,P.2,P.3,P.4,P.5,P.6.1,P.6.2,P.7.1,P.7.2,P.7.3,P.8.1,P.8.2,P.8.3,P.8.4,P.8.5,P.8.6,P.8.7,P.8.8,P.8.9,P.8.10,P.8.11,P.8.12,P.8.13,P.9.1,P.9.2,P.9.3,P.9.4,P.9.5,P.9.6,P.9.7,P.9.8,P.9.9,P.9.10,P.9.11,P.9.12,P.9.13,P.9.14,P.9.15,P.9.16,P.9.17,P.9.18,P.9.19,P.9.20,P.9.21,P.9.22,P.10,P.11,P.12,P.12.1,P.12.2,P.13.1,P.13.2,P.13.3,P.13.4,P.13.5,P.13.6,P.13.7,P.13.8,P.13.9,P.13.10,P.13.11,P.13.12,P.13.13,P.13.14,P.14,P.15,P.16,P.17.1,P.17.2,Observacions
6.0,1,2013-11-21,11:53:00,2,5,61,2,1,3,21,3,5,"SIDA, sífilis",98,embarassos no desitjats,4,4,4,4,4,4,3,4,3,3,1,4,NA,3,2,1,1,1,3,2,4,2,1,4,2,1,2,2,NA,1,3,2,3,3,2,18,1,2,NA,NA,2,1,2,1,1,1,1,2,2,2,1,2,2,5,3,3,1,2,3,
7.0,1,2013-11-21,12:24:00,2,5,62,2,1,3,22,3,4,"VIH, sífilis, gonorrea, limfogranuloma veneri",infeccions per paràsits o fongs,embarassos no desitjats,3,4,3,3,3,3,2,3,2,3,1,3,1,3,3,1,1,1,1,2,3,1,1,3,3,1,3,3,3,1,3,2,3,2,2,16,3,2,NA,NA,1,1,1,1,1,1,1,2,1,1,1,1,1,6,2,2,1,4,4,
8.0,1,2013-11-22,10:24:00,2,5,62,2,1,3,23,5,6,"VIH, sífilis, gonorrea","candidiasis, infeccions d'orina",embarassos no desitjats,4,3,3,4,4,3,1,4,3,3,1,4,1,2,2,1,1,1,1,2,3,2,1,3,3,1,3,3,3,1,3,2,3,2,1,16,1,2,NA,NA,1,1,1,1,2,1,1,1,1,1,1,1,11,6,2,3,1,3,3,
9.0,1,2013-11-22,10:41:00,2,5,62,2,1,3,20,3,5,"SIDA, sífilis, infeccions pel virus del papil·lo","infecció urinària, infecció vaginal, ladillas",embarassos no desitjats,4,4,4,4,4,3,2,4,1,4,2,4,1,3,1,1,2,1,1,1,4,1,1,3,3,1,3,2,3,1,3,3,3,3,3,18,1,1,1,22,1,1,2,2,2,2,1,2,2,1,1,1,NA,NA,5,3,1,4,4,
10.0,1,2013-11-22,11:16:00,2,5,62,2,1,3,21,3,5,"SIDA, gonorrea, hepatitis B","fongs, herpes, infeccions genitals",eembarassos no desitjats,4,3,3,4,4,2,2,4,1,3,1,3,1,3,2,1,1,1,1,1,3,1,1,3,2,1,2,3,3,1,3,3,3,2,1,16,1,2,NA,NA,1,1,2,1,2,1,1,2,2,2,1,1,2,6,3,3,1,3,4,
11.0,1,2013-11-20,10:50:00,2,5,62,2,1,2,19,3,5,SIDA,fongs,embaràs no desitjat,4,3,3,3,3,2,2,2,2,3,1,2,1,2,2,1,1,1,1,3,3,1,1,3,3,1,3,3,NA,1,NA,2,3,3,1,17,1,1,1,36,1,1,2,2,1,1,1,2,2,2,2,1,1,6,5,1,1,4,4,
12.0,1,2013-11-20,11:00:00,2,5,62,2,1,2,18,1,5,"SIDA, sifilis, càncer d'uter","fongs, infeccions",98,3,2,2,2,2,1,1,NA,2,2,1,2,1,2,2,1,2,1,1,1,NA,2,1,2,2,1,4,3,NA,1,NA,2,NA,2,1,16,1,1,1,24,1,1,1,2,1,1,1,2,2,1,1,1,2,6,5,3,1,4,3,
13.0,1,2013-11-20,11:15:00,2,5,62,2,1,2,20,3,5,"SIDA, sifilis, càncer d'uter",infecció d'orina,embaràs no desitjat,4,3,3,3,3,2,1,3,1,3,1,3,1,4,2,1,2,1,1,4,4,4,1,4,3,2,3,3,3,1,3,3,3,3,1,18,1,2,NA,NA,1,1,2,2,2,2,1,2,2,1,2,2,3,5,3,2,2,4,3,
14.0,1,2013-11-20,11:23:00,2,5,62,2,1,2,19,5,6,"SIDA, gonorrea","herpes, fongs","càncer d'uter, embaràs no desitjat",4,3,3,1,3,3,1,3,1,4,1,4,1,3,2,1,1,1,1,2,3,2,1,3,3,2,2,3,3,1,3,2,3,3,1,18,1,2,NA,NA,1,1,1,1,2,1,1,2,2,1,1,1,1,6,2,1,1,3,4,
15.0,1,2013-11-22,10:47:00,2,5,61,2,1,3,21,3,5,"SIDA, sifilis",infeccions,embaràs no desitjat,3,3,3,3,4,3,1,NA,NA,3,1,2,1,2,2,1,1,2,2,1,NA,2,1,3,3,2,1,3,3,1,NA,2,NA,3,1,21,1,2,NA,NA,1,1,2,2,2,2,1,2,2,2,2,1,2,6,2,2,1,4,4,
16.0,1,2013-11-22,11:00:00,2,5,61,2,1,3,20,3,5,"VIH, herpes",fongs,embaràs no desitjat,4,4,4,4,4,3,2,4,3,4,1,4,2,3,2,1,1,2,1,2,3,1,1,3,2,1,3,1,3,2,NA,2,NA,3,2,14,1,2,NA,NA,1,1,2,1,2,2,1,2,2,2,NA,1,7,4,1,2,1,4,4,
17.0,1,2013-11-22,11:15:00,2,5,61,2,1,3,20,3,5,"SIDA, sifilis",infecció d'orina,embaràs no desitjat,3,3,3,3,2,1,1,2,1,2,1,2,1,3,2,1,2,1,1,2,3,2,1,2,3,1,3,3,NA,1,2,2,NA,2,1,17,1,2,NA,NA,1,1,1,1,2,1,2,2,2,2,2,1,2,6,2,2,1,3,3,
18.0,1,2013-11-25,10:54:00,2,5,58,2,2,3,21,3,5,"SIDA, càncer d'uter, hepatitis",infecció d'orina,"violació d'intimitat, embaràs no desit",4,3,4,3,3,3,2,3,2,3,1,2,1,2,2,1,2,1,2,4,4,2,1,4,3,1,4,3,3,1,3,2,3,3,1,17,1,2,NA,NA,1,1,2,1,2,2,1,2,2,1,1,2,4,6,2,2,3,4,4,
19.0,1,2013-11-25,11:05:00,2,5,58,2,2,3,20,3,5,"SIDA, sarna, sifilis,hepatitis B, papil?",gonorrea,"paràsits, herpes, berrugues genitals",3,1,2,1,3,2,1,NA,NA,3,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2,1,3,1,3,2,NA,2,NA,2,NA,15,1,1,1,18,1,1,2,1,1,1,1,2,1,1,1,1,1,1,6,3,2,4,2,
20.0,1,2013-11-25,11:22:00,2,5,58,2,2,3,20,5,6,"SIDA, sifilis,hepatitis B","herpes genital,infecció d'orina",98,3,3,2,2,3,3,2,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,3,2,1,4,3,3,1,3,2,3,2,1,16,1,1,1,24,1,1,1,1,1,1,1,2,2,1,2,1,1,4,5,2,2,4,4,
21.0,1,2013-11-20,11:27:00,2,5,61,2,1,2,20,3,5,VIH,Fongs,Embaras no desitjat,3,3,3,3,3,3,2,3,2,2,1,2,1,2,2,1,1,1,1,1,4,1,1,1,2,1,3,1,3,2,3,2,3,2,2,16,1,1,1,33,1,1,2,1,2,1,1,2,2,1,1,1,1,6,6,2,2,3,3,
22.0,1,2013-11-20,11:41:00,2,5,61,2,1,1,19,1,5,"Sida, Gonorrea",98,Embaras no desitjat,4,4,4,4,4,2,2,4,2,4,1,4,2,2,2,1,1,2,1,3,4,2,1,4,2,1,3,2,NA,2,NA,2,NA,3,2,15,1,1,1,6,1,1,2,2,2,1,1,2,2,1,1,1,2,4,5,2,1,4,4,
23.0,1,2013-11-20,11:58:00,2,5,58,2,2,2,20,3,4,VIH, Sifilis,Embaras no desitjat,3,3,3,3,3,2,1,NA,2,2,1,2,1,1,1,1,1,1,1,1,3,3,3,3,1,1,2,3,3,3,3,3,NA,3,3,17,2,2,NA,NA,1,1,2,2,2,1,1,1,2,1,1,1,1,10,3,2,1,2,4,
24.0,1,2013-11-20,12:13:00,2,5,61,2,1,3,22,3,5,"Sida, Gonorrea, Herpes",Fong Càndida,"Embaras no desitjat, Berrugues",4,4,4,3,3,3,2,2,1,3,1,3,1,3,3,1,1,1,1,1,4,1,1,2,2,1,2,3,NA,1,NA,2,NA,3,2,18,1,2,NA,NA,1,1,2,2,2,1,1,2,2,1,1,1,2,6,2,3,1,3,3,
25.0,1,2013-11-20,12:29:00,2,5,61,2,1,3,22,3,7,"Sida, Sifilis","Fongs, Gonorrea",Embaras no desitjat,4,4,4,4,3,2,1,NA,NA,3,1,4,2,3,2,1,2,2,2,NA,NA,2,1,3,3,2,2,3,NA,1,NA,2,NA,3,1,14,1,2,NA,NA,1,1,1,1,2,2,1,1,2,1,2,2,2,4,2,3,1,4,4,
26.0,1,2013-11-22,10:37:00,2,5,62,2,1,2,20,1,5,"VIH, Gonorrea",98,Embaras no desitjat,4,4,4,4,4,2,1,NA,NA,3,1,NA,NA,3,2,1,1,2,2,NA,NA,2,1,3,2,2,2,2,NA,1,NA,1,NA,3,1,16,1,2,NA,NA,1,1,2,2,2,1,1,2,2,1,1,2,2,6,3,2,2,3,4,
27.0,1,2013-11-22,10:50:00,2,5,62,2,1,3,22,3,4,"SIDA, Gonorrea",Fong Càndiada,"Embaras no desitjat. Berruga, Infecció",3,3,3,3,3,2,1,3,1,2,1,2,1,2,2,1,1,1,1,1,3,2,2,3,2,1,2,3,2,2,3,3,NA,3,2,16,3,1,2,15,1,1,1,1,2,1,1,1,2,1,1,1,2,2,6,3,1,3,4,
28.0,1,2013-11-22,12:02:00,2,5,61,2,1,1,20,3,5,"SIDA, Gonorrea, Sifilis",Fongs,Embarassos no desitjats,4,2,3,3,3,3,1,4,2,3,1,3,1,3,3,1,2,2,2,4,4,3,1,4,3,1,3,3,3,1,3,3,3,3,1,19,1,1,1,14,1,1,2,1,2,1,1,2,2,2,2,1,4,4,4,2,2,NA,NA,
29.0,1,2013-11-22,12:17:00,2,5,61,2,1,1,19,4,5,"VIH, Herpes","Fongs, Infecció",Embaras no desitjat,4,4,3,4,4,2,1,4,2,4,1,3,2,2,2,1,1,2,2,2,2,1,1,2,2,1,2,3,3,2,NA,1,NA,4,1,17,1,1,1,8,1,1,1,1,2,1,1,2,2,1,1,1,11,4,5,3,1,4,4,
30.0,1,2013-11-22,12:36:00,2,5,61,2,1,2,21,3,5,"VIH, Sifilis","Fong Candida, Herpes",Embaras no desitjat,4,4,4,4,4,2,1,NA,NA,3,1,NA,NA,2,2,1,1,2,2,NA,NA,1,1,4,3,1,3,3,NA,1,NA,1,NA,3,1,15,1,2,NA,NA,2,1,2,1,2,1,1,2,2,1,1,2,2,6,2,2,1,4,4,
31.0,1,2013-11-20,11:23:00,2,5,59,2,1,3,20,3,5,"Papiloma, Sida, Cancer",Fongs,Embaraç,4,3,4,2,3,3,2,3,2,3,1,2,2,2,2,1,2,1,1,1,4,1,1,4,3,2,2,3,3,1,3,3,3,3,1,16,1,2,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,2,7,3,2,1,3,4,
32.0,1,2013-11-20,11:53:00,2,5,58,2,1,2,19,3,4,"Sida, Sifilis, Gonorrea, Hepatitis","Fongs, Herpes, Infecció bacteriana",Embaraç no desitjat,3,3,3,3,3,2,2,3,2,2,1,2,1,2,2,1,2,1,1,1,3,1,1,2,2,1,2,1,3,2,3,3,3,2,2,16,1,2,NA,NA,1,1,2,1,1,1,1,2,1,1,1,1,6,6,3,3,1,4,4,
33.0,1,2013-11-20,13:45:00,2,5,62,2,1,3,20,3,4,SIDA,"Infeccions, Fongs",Embaraç,4,4,4,4,4,3,2,4,3,4,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,NA,1,NA,2,2,17,1,2,NA,NA,1,1,1,1,1,1,1,2,2,2,1,1,2,6,5,4,1,3,3,
34.0,1,2013-11-21,13:05:00,2,5,61,2,1,3,20,5,NA,"SIDA, Sifilis","Herpes, Fongs",Embaraç no desitjat,3,3,4,4,4,2,2,4,2,4,1,4,2,3,2,1,1,1,1,1,4,1,1,3,1,1,NA,1,3,1,3,2,4,2,1,18,1,1,1,19,1,1,2,1,2,1,2,2,2,1,1,1,2,4,5,3,2,4,4,
35.0,1,2013-11-21,13:28:00,2,5,59,2,1,3,20,3,5,"SIDA, Sifilis, Hepatitis","Fongs, Infeccions",Embaraç,3,3,3,3,3,2,2,3,3,3,1,2,1,3,2,1,2,1,1,1,3,1,1,3,1,1,2,1,3,1,NA,2,4,3,1,17,1,2,NA,NA,1,1,1,1,1,1,1,2,2,2,1,1,2,6,3,3,1,4,3,
36.0,1,2013-11-21,13:47:00,2,5,59,2,1,2,19,1,5,"SIDA, Hepatitis, Clamidia,Gonorrea","Fongs, Herpes, Infeccions",Embaraç no desitjat,4,4,4,4,4,3,2,4,3,3,1,4,2,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,3,1,NA,1,NA,2,1,16,1,1,1,27,1,1,1,1,1,1,1,1,2,2,1,1,3,6,4,4,1,4,4,
37.0,1,2013-11-22,10:57:00,2,5,66,2,1,2,19,1,2,"SIDA, gonorrea, clamidia","herpes, fongs",embarassos no desitjats,2,2,2,2,2,1,1,2,1,2,1,2,1,4,3,1,2,1,2,2,4,2,1,4,3,1,3,3,3,1,NA,4,NA,4,1,19,1,1,1,12,1,1,1,2,2,1,1,2,2,2,1,1,3,3,4,1,4,4,4,
38.0,1,2013-11-22,11:36:00,2,5,60,2,1,3,20,3,5,"SIDA, papiloma","herpes, infeccions lleus",embarassos no desitjats,3,3,3,3,3,2,2,3,2,3,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,NA,2,NA,3,2,16,1,1,1,36,1,1,1,1,1,1,1,2,2,2,1,1,2,6,5,3,1,3,4,
39.0,1,2013-11-22,12:31:00,2,5,58,2,1,2,21,3,5,"SIDA, gonorrea, sífilis","herpes, infeccions",embarassos no desitjats,3,3,3,2,2,2,1,2,1,3,1,2,1,3,2,1,2,1,1,2,3,1,1,3,3,1,3,2,3,1,3,3,3,3,1,18,1,2,NA,NA,1,1,2,1,2,1,1,2,1,1,1,1,2,6,3,1,1,2,3,
40.0,1,2013-11-22,12:52:00,2,5,61,2,1,1,19,3,4,"SIDA, gonorrea, sífilis, papiloma","fongs, herpes",embarassos no desitjats,3,3,3,3,3,2,1,3,1,3,1,3,1,2,2,1,1,1,1,1,2,1,1,2,2,1,3,3,3,1,NA,3,NA,2,1,17,1,1,1,16,1,1,2,1,1,2,1,2,1,1,1,1,2,6,5,2,1,4,3,
41.0,1,2013-11-22,13:16:00,2,5,59,2,1,1,18,3,4,"SIDA, gonorrea","fongs, herpes",embarassos no desitjats,4,4,4,4,3,3,1,2,1,3,1,3,1,3,3,1,2,1,1,2,3,2,1,3,3,1,3,3,3,1,4,3,4,2,1,18,1,2,NA,NA,1,1,2,2,2,1,1,2,2,1,1,1,2,5,3,2,2,3,4,
46997992E11,1,2013-11-19,11:00:00,2,6,73,2,1,2,19,3,4,"SIDA, Hepatitis, Gonorrea, Sífilis","Ladillas, herpes.",Embarassos,4,4,4,3,3,2,1,3,1,3,1,3,1,2,3,1,1,1,1,1,4,1,1,3,2,1,3,3,3,1,3,2,4,2,1,16,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,2,10,10,4,2,2,4,3,Cap observació.- Grup 7M
46997992E2,1,2013-11-19,11:15:00,2,6,73,1,1,2,19,1,2,"VIH, Sífilis, Gonorrea, Hepatitis,","Herpes, fongs","Embarassos, desgarraments",4,4,4,4,4,3,2,4,3,4,1,4,1,2,2,1,2,1,1,1,2,1,4,1,2,1,2,3,3,1,3,3,3,3,1,17,2,1,1,10,1,1,2,2,2,2,1,2,2,2,1,1,2,2,4,5,2,3,2,Cap observació.
46997992E3,1,2013-11-19,16:01:00,2,6,74,2,1,2,20,3,4,"SIDA, papil·loma humà, gonorrea,","infeccions, fongs, irritacions","poca tranquil·litat, embarassos no",3,4,4,4,3,2,1,3,1,3,1,3,1,2,2,1,1,1,1,3,3,1,1,3,2,1,3,2,3,1,3,4,4,2,1,15,1,2,NA,NA,1,1,2,1,1,1,1,2,1,1,1,1,2,6,3,2,2,3,4,Cap observació.
46997992E4,1,2013-11-19,14:30:00,2,6,73,1,1,3,19,1,2,"Síflis, Clamídia, VIH, Hepatitis,",infeccions,embaràs no desitjat,4,4,4,4,4,4,2,3,2,3,1,3,1,2,2,1,2,1,1,4,2,1,4,1,2,1,4,4,4,2,4,4,4,4,2,17,3,1,1,10,1,1,1,1,2,1,1,2,1,1,1,1,11,6,4,4,1,3,3,Què s'entén per pràctiques sexuals? Només penetrac
46997992E5,1,2013-11-19,15:00:00,2,6,73,2,1,3,19,3,4,"Sífilis, Gonorrea, SIDA",Herpes vaginal,"Inestabilitat psicològica, embarà",4,4,4,4,4,2,1,3,1,4,1,4,1,2,2,1,1,1,1,1,3,1,1,3,2,1,3,3,3,1,4,4,4,2,1,15,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,6,6,5,2,1,3,1,Cap observació.
46997992E6,1,2013-11-20,15:34:00,2,6,74,2,1,3,21,3,4,"SIDA (VIH), Sífilis, Gonorrea, Hep","Fongs, erupcions cutàneas, clamíd",embaràs,4,3,4,4,4,3,2,3,1,3,1,3,1,3,3,2,2,1,2,NA,NA,2,2,2,3,1,4,3,3,1,3,3,3,3,1,18,1,2,NA,NA,2,1,2,2,1,1,1,2,1,1,1,2,7,7,1,1,2,1,2,Cap observació.
46997992E7,1,2013-11-19,13:25:00,2,6,74,1,1,2,19,3,4,"SIDA, Gonorrea, Hepatitis",Infeccions,Embaràs no desitjat,4,3,3,4,3,2,1,3,1,3,1,4,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,1,2,NA,NA,2,1,2,2,2,1,1,2,1,2,1,2,6,6,1,1,1,4,3,L'enquestat era verge i no ha pensat massa en el t
46997992E8,1,2013-11-19,13:50:00,2,6,74,2,1,2,19,5,NA,"SIDA, ETS","Fongs, infeccions",98,4,3,4,4,4,2,2,4,2,3,1,4,2,3,2,1,1,1,1,1,3,3,1,1,3,3,1,2,NA,1,NA,3,NA,3,1,17,1,1,1,18,1,1,1,1,2,1,1,NA,NA,1,1,1,2,6,4,2,2,3,3,Cap observació.
46997992E9,1,2013-11-19,14:00:00,2,6,73,2,1,4,21,1,2,SIDA,Infeccions,Embaràs no desitjat,3,3,4,3,4,1,1,NA,NA,4,1,4,3,2,2,1,1,1,1,1,2,1,1,2,3,1,4,2,3,1,NA,2,3,2,NA,18,1,1,1,3,1,1,2,1,2,1,2,2,2,1,1,2,2,6,3,2,1,3,3,Cap observació.
46997992E10,1,2013-11-19,14:15:00,2,6,73,2,1,4,21,3,5,SIDA,99,Embaràs,4,3,3,3,3,2,1,2,1,3,1,2,1,3,3,1,2,1,1,3,3,NA,1,3,3,1,NA,3,3,1,3,3,3,3,1,NA,1,2,NA,NA,2,1,2,1,1,1,1,2,2,2,1,2,4,7,NA,1,1,2,2,Cap observació.
46997992E11,1,2013-11-19,14:50:00,2,6,73,2,1,2,19,3,4,SIDA,98,98,3,2,1,3,3,1,1,2,1,3,1,3,1,4,4,1,1,NA,2,3,3,2,1,4,4,1,4,NA,3,1,NA,4,NA,3,1,18,1,2,NA,NA,1,1,2,2,2,2,2,2,2,1,1,2,NA,NA,3,1,1,2,2,Cap observació.
77748284G1,1,2013-11-19,09:05:00,2,6,73,2,1,2,25,1,3,"SIDA, Papil·lanome humà, Sífilis",98,Embaràs,4,4,4,3,4,2,2,3,2,2,1,3,2,2,3,1,1,4,1,3,3,1,3,3,2,1,2,3,3,1,3,2,3,2,NA,18,1,1,1,2,1,1,2,2,2,2,1,2,2,1,1,1,2,6,5,2,1,3,3,Cap observació.
77748284G2,1,2013-11-19,13:00:00,2,6,73,2,1,3,20,3,5,SIDA,Fongs,98,4,3,2,1,4,2,1,3,3,3,1,3,1,2,2,1,2,1,1,2,4,1,1,3,2,1,2,3,3,1,3,2,3,2,1,16,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,2,6,5,3,2,3,3,Cap observació.
77748284G3,1,2013-11-19,13:15:00,2,6,74,1,1,2,19,3,5,"SIDA, Fongs, Gonorrea, Sífilis",98,99,4,3,4,3,3,3,3,3,3,3,2,3,2,2,1,1,1,1,1,2,3,1,1,3,2,1,2,3,3,1,3,2,3,3,1,15,1,1,2,4,1,1,1,1,2,2,1,2,1,1,2,2,1,1,5,3,1,2,2,Cap observació.
77748284G4,1,2013-11-19,13:25:00,2,6,74,2,1,3,20,1,2,"SIDA, Gonorrea, Papil·lome humà","Sífilis, Ladilles",Embaràs,3,NA,3,3,3,2,2,NA,NA,3,1,2,1,3,3,1,1,1,1,NA,NA,1,1,4,2,1,3,3,3,3,3,3,3,3,1,18,1,1,1,10,1,1,2,1,2,1,1,2,1,1,1,2,NA,NA,5,1,1,3,4,Cap observació.
77748284G5,1,2013-11-19,13:35:00,2,6,73,2,1,4,24,3,NA,"SIDA, Gonorrea,",Ladilles,Embaràs,3,3,3,3,3,2,2,3,2,3,1,3,1,2,2,1,1,1,1,1,2,1,1,3,2,1,3,1,3,1,3,3,NA,2,1,19,1,1,1,22,1,1,2,2,2,1,2,2,2,1,1,1,6,12,5,2,1,2,3,Cap observació.
77748284G6,1,2013-11-19,13:45:00,2,6,73,1,1,4,22,3,4,SIDA,98,99,99,1,2,2,2,2,2,2,2,1,2,1,2,1,1,NA,NA,1,1,1,4,4,3,3,3,1,NA,3,3,3,3,3,3,3,3,NA,1,2,2,2,2,2,2,2,1,2,1,2,1,1,1,1,7,6,1,1,1,4,4,Cap observació.
77748284G7,1,2013-11-19,13:57:00,2,6,73,2,1,2,19,3,4,SIDA,Fongs,Preocupacions,4,4,4,2,4,3,2,4,NA,3,1,3,1,3,3,1,1,1,1,1,3,1,1,3,2,1,3,2,3,1,2,3,3,2,NA,18,1,1,1,11,1,1,1,1,2,1,1,2,1,1,1,1,NA,NA,5,2,2,2,NA,Cap observació.
77748284G8,1,2013-11-19,14:08:00,2,6,73,2,1,2,19,3,5,"SIDA,","Fongs,",Embaràs,4,3,3,3,2,2,21,NA,1,3,1,2,1,2,2,1,1,1,1,NA,NA,NA,1,3,2,1,3,3,NA,1,3,2,NA,3,NA,17,3,2,NA,NA,1,2,2,1,1,1,1,1,1,1,1,1,NA,NA,3,2,2,3,3,Cap observació.
77748284G9,1,2013-11-19,14:21:00,2,6,73,1,1,4,23,3,4,"SIDA, Papil·lome humà","Bacteris, Herpes","Inestabilitat emocional, embaràs",3,3,3,3,3,1,1,3,1,3,1,3,1,2,2,1,1,1,1,1,2,1,1,2,2,1,2,3,3,1,3,2,3,3,1,16,1,1,2,4,1,1,1,1,2,1,1,2,1,1,1,1,NA,NA,5,2,1,2,2,Cap observació.
77748284G10,1,2013-11-19,14:35:00,2,6,74,1,1,4,26,1,2,"SIDA, Sífilis","Papil·lome humà,",Embaràs,4,4,4,4,4,2,2,4,2,4,2,4,4,2,2,1,1,4,1,1,3,3,1,3,2,1,4,3,3,1,3,2,3,3,3,18,1,1,2,2,1,1,2,2,2,2,1,2,2,1,1,1,2,6,5,1,1,4,4,Cap observació.
X7657049G1,1,2013-11-19,13:15:00,2,6,73,2,1,3,20,3,5,"Càncer d'úter, Sida","Herpes, Fongs",Intranquil·litat,3,3,3,3,3,2,1,3,1,3,1,2,1,3,2,1,1,1,1,2,3,1,1,3,3,1,2,1,3,1,3,3,NA,2,2,16,3,1,1,9,1,1,2,2,2,1,1,2,2,2,1,2,2,10,5,2,1,4,3,Cap observació.
X7657049G2,1,2013-11-19,13:38:00,2,6,73,2,1,3,20,3,4,"Sida, Càncer d'úter","Fongs,infeccions","Embarassos no desitjats, poca tranq",3,2,3,2,3,2,1,3,1,3,1,3,1,2,2,1,2,1,1,1,3,1,1,3,2,1,4,4,3,1,3,4,4,3,1,17,1,1,1,36,1,1,2,1,2,1,1,2,1,1,2,2,4,6,5,1,1,2,3,Cap observació.
X7657049G3,1,2013-11-19,13:50:00,2,6,73,1,1,3,20,3,4,"VIH, Gonorrea","Irritació, fongs, molèsties diver","Intranquil·litat mental, nerviosis",3,3,3,3,3,2,2,2,1,3,1,2,2,3,2,1,2,1,2,2,3,2,1,3,4,1,3,3,3,1,4,2,3,3,1,16,1,2,NA,NA,1,1,2,1,1,1,1,2,1,2,1,1,4,6,2,2,1,2,3,Cap observació.
X7657049G4,1,2013-11-19,14:15:00,2,6,73,1,1,3,20,3,4,"VIH-Sida, Virus del Papiloma Humà,",Herpes genital,Embarassos no desitjats,4,3,3,3,3,2,1,3,2,3,1,3,1,3,2,1,2,1,1,2,4,4,1,3,3,1,3,3,3,1,3,2,3,3,1,18,1,2,NA,NA,1,1,2,1,2,1,1,2,1,1,1,1,2,7,3,2,1,3,3,Cap observació.
X7657049G5,1,2013-11-19,14:27:00,2,6,74,2,1,3,21,3,5,"VIH, Hepatitis",Infeccions,Embaràs,3,3,3,2,3,2,1,3,2,2,1,3,1,2,2,1,2,1,1,1,1,4,2,1,2,1,4,1,3,2,4,4,4,4,2,15,1,1,1,38,1,1,2,1,1,1,1,2,1,2,1,2,2,6,5,2,1,4,4,Cap observació.
X7657049G6,1,2013-11-19,14:55:00,2,6,74,2,1,1,18,2,5,"Sida, Gonorrea",98,Embaràs,4,4,4,2,2,2,1,3,2,3,1,3,2,3,2,1,1,2,2,3,3,2,2,3,3,1,3,1,1,3,3,4,3,4,1,18,1,2,NA,NA,1,1,2,2,2,2,1,2,2,1,1,2,3,6,3,1,1,4,4,Cap observació.
X7657049G7,1,2013-11-19,15:03:00,2,6,73,2,1,2,19,5,6,"Infecció, Embaràs no desitjat, tr",99,98,4,3,4,3,3,2,2,3,2,3,1,3,1,2,3,2,2,2,1,2,4,2,1,3,2,1,3,2,3,1,2,4,4,2,1,19,1,2,NA,NA,2,1,2,1,1,1,1,2,2,1,1,1,2,6,2,1,1,2,4,No ha entès el concepte de malaltia.
X7657049G8,1,2013-11-19,15:35:00,2,6,73,2,1,2,19,1,2,VIH,"Herpes, infeccions",Embarassos no desitjats,4,4,4,3,4,3,2,4,3,4,2,4,2,2,2,1,1,1,1,1,1,4,1,2,2,1,3,2,3,1,3,3,3,2,1,18,2,2,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,2,NA,NA,4,5,2,2,1,3,2,Tot i ser homosexual es poden veure discrepàncies
X7657049G9,1,2013-11-19,15:56:00,2,6,73,2,1,2,19,1,2,"Sida, Sífilis",Virus del papiloma humà,Embarassos no dessitjats,4,4,4,4,4,2,1,1,1,2,1,2,1,2,2,1,1,1,1,1,4,3,1,4,2,1,4,3,3,1,3,4,3,3,1,16,1,1,1,36,1,1,2,1,1,1,1,2,1,1,1,2,2,6,5,1,1,2,3,Cap observació.
X7657049G10,1,2013-11-19,16:22:00,2,6,73,1,1,2,20,3,4,"Sida, Càncer d'úter, Gonorrea","Clamídia, infeccions, fongs","Embarassos no desitjats, molèsties",4,4,4,4,4,2,2,4,1,3,1,3,1,2,2,1,2,1,2,3,4,2,1,3,2,1,2,2,3,1,3,3,3,2,1,16,1,2,NA,NA,2,2,1,2,2,2,2,2,1,2,1,2,3,6,3,2,2,3,2,Cap observació.
41588768F1,1,2013-11-19,13:10:00,2,6,73,2,1,2,19,3,4,Sida,99,98,4,4,4,3,3,3,2,2,2,4,1,2,1,2,2,1,2,1,1,1,1,1,1,3,3,1,3,1,2,1,2,2,2,2,1,15,1,1,1,48,1,1,NA,1,1,1,1,2,2,2,1,2,NA,NA,3,2,1,3,3,Cap observació
41588768F2,1,2013-11-19,13:25:00,2,6,73,2,1,2,19,3,5,Sida,98,98,3,3,2,3,4,4,2,3,2,3,1,3,1,2,2,1,2,1,1,1,2,1,1,2,3,2,3,3,3,1,NA,2,3,2,1,17,1,1,1,24,1,1,2,1,1,2,1,2,2,2,1,2,NA,NA,4,2,1,2,3,Cap observació
